path,label,group
/Volumes/SD 1TB/Music/Media/Music/Nesh Mayday/Mematrik 03/1-03 Push It Badly.mp3,9.5,Acidcore
/Volumes/SD 1TB/Music/Media/Music/bollini verdi/Soundcloud Rip/Pump Ton Acid.mp3,9.5,Acid Tribe
/Volumes/SD 1TB/Music/Media/Music/SPK/Mematrik 01/04 Looper.aiff,9.5,Tekno
/Volumes/SD 1TB/Music/Media/Music/Dub-Liner/A Rougher Version/02 The Kill.mp3,9.5,Jungle
/Volumes/SD 1TB/Music/Media/Music/Fresh/Jungle Classics - Ministry Of Sound [Explicit]/19 Gatekeeper (Original Mix).mp3,9.5,Jungle
/Volumes/SD 1TB/Music/Media/Music/Just Jungle/Ere Dread _ Ah This Feeling [MEDITATOR028]/01 Ere Dread.wav,9.5,Jungle
/Volumes/SD 1TB/Music/Media/Music/Salvatore Ganacci/Unknown Album/Horse (Schacke Remix).mp3,9.5,Techno Rave
/Volumes/SD 1TB/Music/Media/Music/Clouds/Sharp Like a Razor/04 Arkhangelsk Nightmare.mp3,9.5,Techno Industrial
/Volumes/SD 1TB/Music/Media/Music/Various Artists/Tunnel Trance Force Vol.2 (alte Serie)/01 Die Herdplatte 100°.mp3,9.5,Hardtrance
/Volumes/SD 1TB/Music/Media/Music/DJ Warlock/Energetik EP/Hallucination.mp3,9.5,Goatrance
/Volumes/SD 1TB/Music/Media/Music/slowthai/Nothing Great About Britain/1-02 Doorman (Ft. Mura Masa).mp3,9.5,Rap/Hip Hop
/Volumes/SD 1TB/Music/Media/Music/Traumprinz/Mothercave/09 Ambient 006.aiff,1.5,?
/Volumes/SD 1TB/Music/Media/Music/Shackleton/Soundboy Punishments/13 Blood On My Hands (Ricardo Villalobos' Apocalypso Now Mix).mp3,2.0,Electronic
/Volumes/SD 1TB/Music/Media/Music/Herbert/My Orphaned Son _ It's Only/02 It's Only (DJ Koze Remix).mp3,3.5,Minimal Techno
/Volumes/SD 1TB/Music/Media/Music/Leafar Legov/Mirror/06 Hidden Treasure.aiff,2.0,Minimal
/Volumes/SD 1TB/Music/Media/Music/Versa & Rowl/Smokin Sessions 17/02 Zodiac.mp3,3.5,Bass
/Volumes/SD 1TB/Music/Media/Music/Yung Lean/Free Soundcloud Download/Agony (dj poolboi Remix).wav,3.5,Downtempo
/Volumes/SD 1TB/Music/Media/Music/Nu/Unknown Album/Fool (Ft. Jo Ke).mp3,3.0,?
